,RELIANCE.NS,TCS.NS,INFY.NS,HDFCBANK.NS,ICICIBANK.NS,ITC.NS,LT.NS,KOTAKBANK.NS,SBIN.NS,BHARTIARTL.NS,AXISBANK.NS,HCLTECH.NS,MARUTI.NS,ASIANPAINT.NS,WIPRO.NS,ULTRACEMCO.NS,HINDUNILVR.NS,BAJFINANCE.NS,NTPC.NS,TITAN.NS,SUNPHARMA.NS,TECHM.NS,INDUSINDBK.NS,POWERGRID.NS,JSWSTEEL.NS,ADANIENT.NS,BAJAJFINSV.NS,CIPLA.NS,COALINDIA.NS,EICHERMOT.NS,HINDALCO.NS,ONGC.NS,TATACONSUM.NS,NESTLEIND.NS,DRREDDY.NS,M&M.NS,GRASIM.NS,HDFCLIFE.NS,BRITANNIA.NS,APOLLOHOSP.NS,DIVISLAB.NS,BPCL.NS,SBILIFE.NS,TATAMOTORS.NS,HEROMOTOCO.NS,BAJAJ-AUTO.NS,UPL.NS,TATASTEEL.NS,ADANIPORTS.NS,IOC.NS
RELIANCE.NS,1.0,0.36392555155935413,0.32639478696687413,0.49908224706789156,0.5028686307128958,0.41553565384764085,0.5483928280617184,0.31163444468145346,0.4659782997871701,0.33918108691274523,0.40975814631327706,0.40912961675924936,0.4216443676939456,0.472683410817542,0.24493830699793248,0.2663389088578012,0.24615041112184466,0.2693789482369191,0.4631083353729728,0.31583919008546996,0.3811750908150505,0.3115313472430541,0.09457811989214086,0.46476575585007635,0.3999840472227182,0.41776849010931644,0.37117311125289215,0.5099069220821334,0.5098889326592997,0.35995352626211863,0.5672065205946742,0.5276038088085817,0.30713842517153894,0.31918260406325066,0.39360206144518867,0.33422441557884847,0.39150777213645854,0.3723631555028521,0.19423680876333985,0.2850689804257419,0.289105909307943,0.4431123235875308,0.4934307073374635,0.41529743569951216,0.3682050518676438,0.46127089279676237,0.31218743745071414,0.5281605260457766,0.5159004425313647,0.40033496855886697
TCS.NS,0.36392555155935413,1.0,0.7748707307156766,0.18156676177433664,0.255230954652612,0.23617438951427516,0.36674966025718553,0.09280102311454026,0.20564484724879792,0.3327443149672891,0.22078512940413486,0.7094990549330891,0.2395596315687763,0.17450689460570923,0.6219979749221962,0.13754463069160822,0.322650318237048,0.21505618023970022,0.1794928733494035,0.21828010878305537,0.034193899405050354,0.7042308198642044,-0.006729930891450532,0.21134441684931862,0.3164978134226952,0.1375827027805048,0.31029825586503007,0.2180689974058531,0.2126849946515993,0.24147480431558332,0.24906925463036886,0.3859190607510825,0.22672120500232695,0.27704129791274357,0.23288846840879493,0.2519898389835217,0.2291468283261931,0.2266973923638769,0.33778902252611925,0.16167021860384193,0.05264383550538936,0.1898552288179779,0.3045055153577988,0.26574080536356665,0.2535762766912165,0.23587881507516326,0.13819972185135115,0.2897012690009887,0.18515140908978006,0.16199130594416414
INFY.NS,0.32639478696687413,0.7748707307156766,1.0,0.28559164165638923,0.34828180496715555,0.15091912650112838,0.3867912132960539,0.1773286862913098,0.2445265652490269,0.4052028106636458,0.3883594967121628,0.7078982113122573,0.3221284373796186,0.13699207930738982,0.7074550260844157,0.26186507172477624,0.25038993289700695,0.27874167845763986,0.26061518397088085,0.35670077678885437,0.04111227930174931,0.7374627875669533,0.11399819053153731,0.25534987426045547,0.4301687543910891,0.2909866310464012,0.38621305326214955,0.29750233900425055,0.16515421407464734,0.27538069650479957,0.32581104265094346,0.33245151726166544,0.2523084905821387,0.2233618581505176,0.2924526753675682,0.41229483078421586,0.34241695635718566,0.235061283307249,0.261842925216221,0.1816968548544498,0.1428556832102953,0.16716513389524326,0.3207859443494308,0.3209799321930884,0.3018766560976384,0.3009036399147054,0.21854199261162383,0.39873958429078177,0.2710696829801225,0.15133831505094383
HDFCBANK.NS,0.49908224706789156,0.18156676177433664,0.28559164165638923,1.0,0.5929309697680122,0.28280200482315676,0.42801696480655066,0.40661342536231754,0.40425277088030825,0.263998272831936,0.5281697415964718,0.2167253866469942,0.32681605467584185,0.20465815339213647,0.17758748457106827,0.37182036708984123,0.14630784790819126,0.5004548723350766,0.3496785053976034,0.22364579535639517,0.13625998812217918,0.1808162192860839,0.08723724716226587,0.36374914266458214,0.39836825691385047,0.46885212831601775,0.4432293976094757,0.3368747280779185,0.3630337872082193,0.28681937215216285,0.3593810043004736,0.25855780799510686,0.315996748478291,0.11430396969295578,0.21418461882469608,0.24864981889931545,0.4175355750589969,0.38205631992723066,0.03120879059899923,0.3630466295806241,0.2292865741778654,0.2603582804359131,0.3895668666727372,0.23236216024667203,0.23598028238737961,0.27607883270501477,0.2852893998208069,0.3564592077542416,0.4011561306069268,0.2717091928148558
ICICIBANK.NS,0.5028686307128958,0.255230954652612,0.34828180496715555,0.5929309697680122,1.0,0.2872317661614355,0.4360147652306729,0.42927656470941067,0.5014584427243947,0.42318357274752066,0.5576352660687149,0.28152314506061493,0.3291385388087516,0.2984157649903086,0.20839106071633798,0.38601927346866727,0.26079987413551536,0.4265219312531325,0.4188470550295097,0.22487363102443245,0.2686766632308583,0.251713958520968,-0.09785529862971468,0.3075570609877932,0.38619133465406996,0.42840959283818736,0.35540566644535443,0.28247945847505324,0.2749835213473396,0.377800700593382,0.2891444131504502,0.2917634158107261,0.278023745999314,0.26460763886533634,0.22203751806222363,0.46054283084664605,0.4153166889023149,0.47638857135390933,0.2233707958970773,0.3984128959977886,0.15730742513209514,0.2680661416190119,0.47942338682452673,0.3171137251879696,0.26935500053556405,0.4268643073182335,0.2558817191411922,0.372702640354261,0.46259554936124025,0.27507593412623715
ITC.NS,0.41553565384764085,0.23617438951427516,0.15091912650112838,0.28280200482315676,0.2872317661614355,1.0,0.25952824025604143,0.1996062972783464,0.2623857365812225,0.19154713556927677,0.23718754570793255,0.2478269831168611,0.4026692276803856,0.454669564098658,0.11111070213594096,0.25451959255671225,0.5210999599667772,0.14151519927597192,0.2916382285599762,0.3586740145259867,0.14006893627006986,0.1671743757077657,-0.008717095655657698,0.36162154231698485,0.18255072992816945,0.2856900186969659,0.22829844008496245,0.23141831700996504,0.272350471803341,0.43060034804108144,0.17832855317775712,0.2305251594567313,0.5440823604186429,0.49412087761766826,0.13980435511653358,0.3266218035540232,0.2786993227321755,0.17469391097055328,0.4877842338282104,0.24955070446333258,0.04126188447725107,0.3290119859320426,0.17763564668280882,0.18205255831186373,0.25992257616693437,0.3050290739550988,0.16733948424632067,0.2110229129291412,0.2778397621040291,0.27447782423515865
LT.NS,0.5483928280617184,0.36674966025718553,0.3867912132960539,0.42801696480655066,0.4360147652306729,0.25952824025604143,1.0,0.3736667881204826,0.6280492287082693,0.24208850023244075,0.38034687892137076,0.45351958291853683,0.22695312587157124,0.3742587530834595,0.4012447767786746,0.38738375038773504,0.18519952814694898,0.17334767324834072,0.5332959717732378,0.4217473320157967,0.32319386181694804,0.3700449301108063,0.10297714214642037,0.4261486745606363,0.523310039697909,0.4757627858889341,0.24032659751711585,0.4956327831020951,0.5860372825730321,0.37557310652663,0.5791107254492261,0.5834420939806951,0.29621642641150253,0.25295811183970535,0.46203078257484925,0.24918038655549335,0.4550502094703689,0.5003064797661094,0.19116094186992227,0.3415124533585347,0.28570353606675025,0.4649055681580396,0.48425541532169425,0.5676197327338353,0.4899776402381651,0.4573913617685915,0.39922060653583885,0.6098390835886275,0.46778312182512777,0.44945500125134624
KOTAKBANK.NS,0.31163444468145346,0.09280102311454026,0.1773286862913098,0.40661342536231754,0.42927656470941067,0.1996062972783464,0.3736667881204826,1.0,0.49201649005678333,0.24490655182806448,0.4333912659493172,0.17485511709348783,0.19222986958024818,0.13725910596186494,0.2557324934184996,0.3007458184843182,0.06683423122264359,0.3535966372217197,0.4549470017820042,0.16497984419176903,0.19625004707932814,0.2705055220931234,0.03874708908103343,0.29597400774369026,0.40713889163071665,0.2693029390589159,0.35675042670365803,0.22228327566196368,0.21612585686849292,0.39318705853928987,0.24205613220910102,0.258576825615799,0.2294626703863159,0.12042792682302192,0.17956051489716265,0.1650172129663491,0.33774740296303435,0.2163715237859561,0.09685364728627274,0.22093349155699263,0.1959823679887162,0.26194000419746977,0.280648100213459,0.293377371806378,0.1994485619224852,0.3093168483268926,0.16141102030683754,0.28727709903490833,0.14121856610443292,0.24805303344114282
SBIN.NS,0.4659782997871701,0.20564484724879792,0.2445265652490269,0.40425277088030825,0.5014584427243947,0.2623857365812225,0.6280492287082693,0.49201649005678333,1.0,0.18975074902233266,0.4731718607936191,0.13193817393217705,0.2125028710527741,0.30695146429997866,0.2978182083624831,0.33545032643074707,0.046289832894956584,0.3861779317051682,0.5830743861250158,0.3131458214834825,0.25799386869606417,0.29180881860508256,0.14112463417951657,0.43950700869162956,0.39398798096910653,0.5689634121580711,0.3675273900295457,0.43372369038111475,0.44631085582869545,0.37566876356029716,0.38320403483441345,0.46547892196284874,0.19293732573902111,0.14399081956312304,0.33919114646644793,0.32509188757057117,0.4475580288034602,0.3685219833997598,0.12029089280621973,0.26870348867126187,0.3645969231106769,0.4862392946023186,0.3668754402774649,0.4368532125409524,0.28574951155963485,0.3270226977255882,0.3473240717741437,0.44655302443025924,0.5236887338352861,0.5222563806478645
BHARTIARTL.NS,0.33918108691274523,0.3327443149672891,0.4052028106636458,0.263998272831936,0.42318357274752066,0.19154713556927677,0.24208850023244075,0.24490655182806448,0.18975074902233266,1.0,0.2620659307005797,0.40812212664770786,0.35694935982141673,0.22378915627246795,0.32739558233633426,0.2231246740194959,0.2556641716760299,0.23166954346472782,0.27017120248381005,0.40422191488180137,0.3223592999513336,0.3806574248608251,0.0018848513801953696,0.3118479044314008,0.46440146076936517,0.2847658717395473,0.28727731306226817,0.23575993598480618,0.10203111009193905,0.3860787975182638,0.2960388337548129,0.2872128435377252,0.3161610120276862,0.3758686967475055,0.13158097763239132,0.4605793383630038,0.3369848176346366,0.3887488102162642,0.30940134237969946,0.2644121206453481,0.1899538756944149,0.21990902730782214,0.3468663536021731,0.21846248260762596,0.26780144982274895,0.3888908382385618,0.21973578403910515,0.3984101666589244,0.24633945685359643,0.21108935136097248
