,Risk_Model_Equal Weight,Risk_Model_Minimum Variance,Risk_Model_Maximum Sharpe,Risk_Model_Risk Parity,Equal Weight,Momentum,Mean Reversion,Low Volatility,Risk Parity,Sharpe Optimization
RELIANCE.NS,0.02,0.02,0.0,0.017575957445449056,0.02,0.0,0.0,0.02,0.01566685067221221,5.542369413628956e-16
TCS.NS,0.02,0.02,0.0,0.02305150698338437,0.02,0.026523084878276475,0.02075473390476041,0.02,0.022126183019561832,2.976968072665715e-18
INFY.NS,0.02,0.02,0.0,0.016723484477440154,0.02,0.06596559827507059,0.0,0.02,0.015259815628051485,4.627394537916707e-16
HDFCBANK.NS,0.02,0.02,0.1499999999999997,0.02739093242133918,0.02,0.0,0.0,0.02,0.021722856536122246,0.042995738551420026
ICICIBANK.NS,0.02,0.02,2.5839664910916564e-16,0.023321560717567566,0.02,0.0,0.04501703745914991,0.02,0.020905693012318118,2.5750048999744787e-17
ITC.NS,0.02,0.02,4.944665951296257e-18,0.03232486123401723,0.02,0.0,0.03129439919496061,0.02,0.03048169736525074,3.655220569203715e-17
LT.NS,0.02,0.02,1.22662627268304e-16,0.014769909492617353,0.02,0.0,0.0,0.02,0.014451263891442799,7.031316491874528e-16
KOTAKBANK.NS,0.02,0.02,0.0,0.024268529511101176,0.02,0.05296745590268725,0.0,0.02,0.02266829294617071,0.0
SBIN.NS,0.02,0.02,7.051258311795717e-17,0.02110485277007273,0.02,0.0,0.0,0.02,0.02078261426661983,0.0
BHARTIARTL.NS,0.02,0.02,0.14999999999999997,0.021908367886141283,0.02,0.0,0.0,0.02,0.021924518734307567,0.03551419925164394
AXISBANK.NS,0.02,0.02,9.388547690272308e-17,0.018053655050370144,0.02,0.05373512290066857,0.0,0.02,0.015293189047380714,0.0
HCLTECH.NS,0.02,0.02,0.0,0.015578034865525905,0.02,0.06908139512885048,0.0,0.02,0.013905679355345663,6.613941839860117e-16
MARUTI.NS,0.02,0.02,6.4196556399202395e-18,0.0242945645671806,0.02,0.06037136246019939,0.0,0.02,0.021421167811133814,1.707356284089654e-16
ASIANPAINT.NS,0.02,0.02,0.0,0.027322818455501482,0.02,0.030185120950601902,0.00997102356821424,0.02,0.033761590774530295,0.0
WIPRO.NS,0.02,0.02,4.6423081720920123e-17,0.017340343847974737,0.02,0.07448388717928965,0.0,0.02,0.017880005792123416,4.0108384043923923e-16
ULTRACEMCO.NS,0.02,0.02,0.0,0.019882756559588526,0.02,0.04272988835951454,0.03240632538355594,0.02,0.024362731478627123,4.629974540679527e-17
HINDUNILVR.NS,0.02,0.02,1.4641019797185455e-16,0.03347327817991076,0.02,0.0,0.05027461671325617,0.02,0.03924286279926846,0.013627188959795766
BAJFINANCE.NS,0.02,0.02,0.002509614858261339,0.022137025446927167,0.02,0.028706354383467195,0.0,0.02,0.018411044789642464,1.762327280350785e-16
NTPC.NS,0.02,0.02,8.906596249013979e-17,0.0171435450730113,0.02,0.0,0.07082923850118,0.02,0.018207655097067697,2.404732505894045e-16
TITAN.NS,0.02,0.02,5.72078528493091e-17,0.021845302898344767,0.02,0.0,0.049560607732746405,0.02,0.025373791061844963,0.03000070878050333
SUNPHARMA.NS,0.02,0.02,4.857833079959683e-19,0.02609298548499965,0.02,0.0,0.08237051454638426,0.02,0.029450791038626065,1.3132256374348442e-16
TECHM.NS,0.02,0.02,0.0,0.017797532675542613,0.02,0.12123466571874651,0.0,0.02,0.016368015649476136,0.14942556346843092
INDUSINDBK.NS,0.02,0.02,7.432518896319503e-17,0.020862593850678346,0.02,0.055819787384246936,0.0,0.02,0.030828144089046907,0.14744256852448143
POWERGRID.NS,0.02,0.02,0.0,0.01642734939091775,0.02,0.0,0.035987996332488885,0.02,0.017044912695870263,1.9347393963257423e-16
JSWSTEEL.NS,0.02,0.02,4.350992749592155e-17,0.013698080137811167,0.02,0.023404188497397563,0.01703810330202809,0.02,0.01179669717653167,6.749995914200454e-16
ADANIENT.NS,0.02,0.02,1.5116589953605096e-16,0.012268960713572525,0.02,0.0,0.019836460025887386,0.02,0.010477252747540057,3.829227641115807e-16
BAJAJFINSV.NS,0.02,0.02,3.495128185021015e-17,0.017445864819765153,0.02,0.0,0.03573012681235353,0.02,0.01564119951497991,1.623910115036512e-16
CIPLA.NS,0.02,0.02,0.0,0.019030769758519767,0.02,0.022674745569874144,0.0,0.02,0.01666867661906297,2.294129998198155e-16
COALINDIA.NS,0.02,0.02,8.735508638563142e-17,0.021353722330256324,0.02,0.0,0.06655010775476075,0.02,0.020476092535895482,3.136103875233223e-16
EICHERMOT.NS,0.02,0.02,0.0,0.016033115399931346,0.02,0.01763557961975291,0.006533934057114244,0.02,0.01590259855184862,4.583495728544605e-16
HINDALCO.NS,0.02,0.02,0.0,0.014352535650626835,0.02,0.019059042136234806,0.03581903754273436,0.02,0.011784918011836905,1.2492701276258226e-15
ONGC.NS,0.02,0.02,0.0,0.015452765662499519,0.02,0.06479654098157393,0.0,0.02,0.014233876799115518,5.353520225611833e-16
TATACONSUM.NS,0.02,0.02,2.667683002686826e-17,0.022066300671705407,0.02,0.0,0.10758075910046849,0.02,0.020707456398234212,1.7292668367910357e-15
NESTLEIND.NS,0.02,0.02,0.0,0.030141075111546834,0.02,0.0,0.03298818645250172,0.02,0.03227440001370262,0.04013417184756959
DRREDDY.NS,0.02,0.02,7.117516877495285e-18,0.022594356137532013,0.02,0.06153421695296261,0.0,0.02,0.0204193816413944,4.1114214799912346e-16
M&M.NS,0.02,0.02,0.0,0.014576294750496054,0.02,0.0,0.019804247500220355,0.02,0.015299313249076895,1.978762045759793e-16
GRASIM.NS,0.02,0.02,0.0,0.02013383362613967,0.02,0.061845874550851214,0.014322171705742093,0.02,0.017561426993975653,1.0617512369362929e-16
HDFCLIFE.NS,0.02,0.02,0.14999999999999972,0.021704457521259872,0.02,0.0,0.0,0.02,0.022929568176418388,0.07523949132895592
BRITANNIA.NS,0.02,0.02,0.07212982405369739,0.032504806310762975,0.02,0.0,0.0,0.02,0.03550927201638594,0.1499999999999989
APOLLOHOSP.NS,0.02,0.02,0.0,0.021653952543524493,0.02,0.0,0.012058698100014498,0.02,0.02683845082931504,0.0
DIVISLAB.NS,0.02,0.02,0.10664641418387782,0.019924620862356815,0.02,0.0,0.0005811708064948757,0.02,0.019725834795305226,5.1530435518523664e-17
BPCL.NS,0.02,0.02,0.1499999999999999,0.016062677324104647,0.02,0.0,3.859209361674219e-17,0.02,0.016311710599707593,0.04384763767039339
SBILIFE.NS,0.02,0.02,0.11191718181521504,0.01858401187529539,0.02,0.0,0.0,0.02,0.018664811267135244,0.14999999999999877
TATAMOTORS.NS,0.02,0.02,1.9793650786886254e-16,0.013858827651265495,0.02,0.0,0.07866242042693718,0.02,0.014127032495907318,4.828063693097901e-16
HEROMOTOCO.NS,0.02,0.02,0.0,0.017171916894222365,0.02,0.04724608816973337,0.0,0.02,0.016032653208972125,0.12177273161679661
BAJAJ-AUTO.NS,0.02,0.02,2.6446328583066976e-16,0.014273159027101861,0.02,0.0,0.03489840792427036,0.02,0.013532552949174067,4.245815739932718e-16
UPL.NS,0.02,0.02,2.0343220980909842e-17,0.019027799051956777,0.02,0.0,0.0004910184798608994,0.02,0.01782741004797237,1.225411269095994e-16
TATASTEEL.NS,0.02,0.02,1.0696266460812157e-16,0.011956515242089212,0.02,0.0,0.05802395818430145,0.02,0.0111494638848792,8.263896484713212e-16
ADANIPORTS.NS,0.02,0.02,0.10679696508894818,0.014562289978103727,0.02,0.0,0.004619672945245613,0.02,0.014300229525918199,0.0
IOC.NS,0.02,0.02,2.611119675147653e-16,0.01887554166194994,0.02,0.0,0.025995025542367305,0.02,0.022266352397672915,4.1990382830659073e-16
